flower	symbol
가막살나무	죽음보다 강한 사랑
가문비나무	성실, 정직
가시박	기다림
가지	진실
각시투구꽃	용사의 모자
갈대	신의, 믿음, 지혜
감나무	경의, 자애, 소박
감자	당신을 따르겠습니다
갓	무관심
강아지풀	동심, 노여움
개나리	희망, 나의 사랑은 당신보다 깊습니다
개불알꽃(= 복주머니난)	나를 이겨 가지세요.
개별꽃	귀여움
개다래나무	꿈꾸는 심정
개망초	화해
개미취	기억, 추억, 먼 곳의 벗을 그리워하다
개벚지나무	시골 처녀
개암나무	화해, 잘 어울리는 한쌍
개양귀비	약한 사랑, 덧없는 사랑, 무관심, 냉담
개회나무	청춘의 추억
갯버들	친절, 자유
거베라	신비, 풀 수 없는 수수께끼
겨자	무관심
겨우살이	강한 인내심
계요등	지혜
고광나무	기품, 품격, 추억
고데마리	노력
고무나무	변함 없는 사랑, 영원한 행복
고사리	기적, 유혹
고추나무	한, 의혹, 미신
고추나물	친절
공작선인장	정열
괴불나무	사랑의 희열
공작초	항상 좋은 기분, 안부
과꽃	믿는 사랑, 추억
관음죽	행운
광나무	강인한 마음
구상나무	기개
구즈베리아	만족
구름패랭이꽃	위급
구골나무	보호, 용의
국화	정말 좋은 친구
국화 (하얀 국화)	성실, 진실
국화 (노란 국화)	실망, 짝사랑
국화 (빨간 국화)	진실
국수나무	모정
군자란	고귀
굴거리나무	내 사랑 나의 품에
구기자나무	희생
궁궁이	고결
귀룽나무	사색
귤	마음의 스승
극락조화	사랑을 위해 멋을 부린 남자, 신비, 영구불멸
글라디올라스	밀회, 경계, 주의
글로리오사	광영, 영광
글록시니아	화려한 모습, 욕망
금관화	화려한 추억
금괭이눈	골짜기의 황금, 변하기 쉬운 마음
금귤	순결, 어릴 때 우정
금낭화	당신을 따르겠습니다.
금매화	꿈 많은 소녀
금목서	당신의 마음을 끌다.
금사슬나무	슬픈 아름다움
금어초	수다쟁이, 주제넘게 참견하다
금영화	희망, 부, 성공
금잔화	비탄, 실망, 비애, 겸손, 인내, 이별의 슬픔
금작화	청초
기린초	소녀의 사랑
기생꽃	천사
긴개싱아	백로다리
까치밥나무	풍요, 숨겨진 사랑
꽃사과	유혹
꽃다지	무관심
꽃생강	신뢰, 헛수고
꽃싸리	밀원
꽃잔디	희생
꽃쥐손이	새색시
꽃창포	우아한 마음, 좋은 소식
꽃향유	가을향기, 과거를 묻지 마세요
꽈리	거짓, 속임수
꽝꽝나무	참고 견디어 낼 줄 아는
그레빌레아 로부티스타	가련
그로키니시아	야심, 욕심
나팔꽃	기쁨, 결속, 덧없는 사랑, 일편단심 사랑
나도밤나무	나를 업신여기지 마세요
나비콩	매력, 매혹
난초	청초한 아름다움, 열렬하고도 순수한 사랑
남천	전화위복
납매	자애
냉이	나의 모든 것을 당신에게 바칩니다
너도밤나무	번영
넌출월귤	마음의 고통을 위로하다
네모필라	애국심
네프로네피스	매혹
노각나무	견고, 정의
노간주나무	친절, 자유
노란별수선	빛을 찾다
노루귀	인내, 믿음, 신뢰
노린재나무	동의
노송나무	불명, 불사, 굳셈
누리장나무	친애, 깨끗한 사랑
뉴사이란	참신
느릅나무	위엄
느티나무	운명
능금나무	은화, 참애호자
능소화	여성, 명예, 영광, 기다림, 그리움
뉴사이란	참신하다
니겔라	꿈속의 사랑, 당혹, 미래, 은근한 기쁨
다릅나무	선한
다정큼나무	친밀
단정화	당신을 버리지 않겠습니다
단풍나무	사양
달리아	정열, 불안정, 변덕
달맞이꽃	말 없는 사랑, 기다림, 밤의 요정, 소원, 마법, 마력
달꽃	꿈꾸는 사랑
담자리꽃나무	사랑에 눈 떼지 마!
담배	기분
담쟁이덩굴	아름다운 매력
당근	죽음도 아깝지 않으리
당아욱	자애, 어머니의 사랑
당종려	승리
대나무	지조, 인내, 절개
대왕송	부귀
대추나무	처음 만남
댕강나무, 꽃댕강나무	환영, 평안
댕댕이덩굴	적선
더덕	성실, 감사
덧나무	용기
덜꿩나무	주저
데이지	겸손과 아름다움, 천진난만함
블루데이지	청아한 당신
샤스타데이지	만사는 인내로부터, 순진, 평화
리빙스턴데이지	희망 , 평화 , 평등 , 인내, 겸손한 아름다움
덴드로비움	자만심이 강한 미인, 말괄량이, 방자한 미인
덴파레	매혹, 유능한
델피니움	당신은 왜 나를 싫어합니까, 쉽게 변함, 경솔, 제 마음을 헤아려주세요
도꼬마리	고집, 애교
도라지꽃	소망, 영원한 사랑
동백꽃	청렴, 절조, 그 누구보다 그대를 사랑합니다
하얀 동백꽃	당신은 나의 사랑을 경멸하는 것입니까?
붉은 동백꽃	나는 당신이 누구보다도 아름답다고 생각합니다.
복숭앗빛 동백꽃	나는 당신에게 사랑받는 것을 자랑으로 생각합니다.
독당근	죽음도 아깝지 않으리
독말풀	거짓, 애교
하얀 독말풀	경애, 애증
독일창포	멋진 결혼
동심초	온순
두릅나무	애절, 희생
둥글레	고귀한 봉사
들국화	장애물, 상쾌
들장미	고독, 소박한 미, 시
들쭉나무	반항심
등나무	환영, 사랑에 취함
등골나무	주저
디기탈레스	열애, 나는 애정을 숨길 수 없습니다
딱총나무	동정, 열심
딸기	예견, 행복한 가정, 존중, 애정, 우정, 우애
떡갈나무	공명정대, 강건
때죽나무	겸손
뚜껑별꽃	추억
다알리아	감사, 우아
하얀 다알리아	친절이 감사합니다
장미색 다알리아	당신의 마음을 알게 되어 기쁩니다
적색 다알리아	당신의 사랑이 나를 행복하게 합니다.
데코라고무나무	남성적, 영원한 사랑
드라세나 드라코	행복, 행운
드라세나 산델리아나	개운 (운이 열리다, 장수, 행운)
디모르 포세카	해맑은 소녀, 회복
디펜바키아	경계
라그라스	당신의 친절에 감사하다, 미안합니다
라넌큘러스	매력, 매혹, 비난하다
란타나	엄격, 엄숙, 나는 변하지 않는다
라벤더	침묵, 정절, 내게 대답해주세요
라스피	정의, 자유
라임(린덴)	부부간의 사랑
라일락	안녕, 첫사랑, 젊은 날의 추억
자주색 라일락	사랑의 싹이 트다
하얀 라일락	아름다운 맹세
붉은 라일락	친구의 사랑
라플레시아	장대한 미와 순결
락스퍼	정의, 자유
보라색 락스퍼	젊은 날의 추억
붉은 락스퍼	사랑의 싹틈
레몬나무	열의, 성실한 사랑, 정절
레몬	진심으로 사모함
레몬그라스	진심으로 사모함
레몬버베나	인내, 조화
레위시아	천사의 눈물
레제다오도라타	매력
렉스베고니아	부조화, 짝사랑
로단테	영속
로벨리아	불신, 정교, 원망, 악의, 위기의 시작
로사캠피온	성실
로즈마리	기억, 영원한 사랑, 아름다운 추억, 나를 생각해요, 당신의 존재로 나를 소생시키다, 행복한 추억, 가정의 행복
로즈힙	무의식의 아름다움
루나리아	정직
루드베키아	영원한 행복
루피너스	모성애, 행복
리넘	나는 당신의 친절에 감사합니다
리시안셔스	변치 않는 사랑
리시키톤	아름다운 추억
리아트리스	고집쟁이, 고결, 기다림
러브체인	끈끈한 사랑
로단테	아름다움, 영원한 사랑, 행복
로드킬 선인장	장구, 승승장구
로즈베리	당신은 나를 일깨운다
리기다 소나무	희망의 속삭임
마가렛	자유, 마음 속에 사랑을 점친다
마로니에	천분, 천재
마르멜로	유혹
마취목	희생
마타리	미인, 잴 수 없는 사랑
마시멜로	은혜, 선행, 자선
마조람	조화, 기쁨, 행복
만병초	위엄, 존엄, 경계, 위험
만수국	반드시 오고야 말 행복
망초	화해, 가까이 있는 사람을 행복하게 해주고 멀리 있는 사람은 가까이 다가오게 해준다
만년청	상속, 모성애
말채나무	보호
매자나무	까다로움
매화나무	고결, 결백, 정조
맨드라미	시들지 않는 사랑, 영생, 괴기
메꽃	속박, 충성, 수줍음
메밀꽃	연인
매쉬메리골드	반드시 오고야 말 행복
머위	공평
명자나무	평범, 조숙, 겸손
모감주나무	자유로운 마음, 기다림
모란	부귀, 영화, 왕자의 품격, 행복한 결혼
모링가	생명의 나무
목련	숭고한 정신, 우애, 고귀함
목향	인정
목화	어머니의 사랑
몬스테라	괴기
몰약나무	진실
무	계절이 주는 풍요
무궁화	은근, 끈기, 섬세한 아름다움
무릇	인내, 강한 자제력
무스카리	절망, 실의, 실망, 통하는 마음, 관대한 사랑
무환자나무	염원
문주란	청순함
물레나물	일편단심, 추억
물망초	나를 잊지 마세요, 진실한 사랑
물푸레나무	열심
미나리	성의, 고결
미나리아재비	천진난만함
미니장미	끝없는 사랑
미루나무	명예, 영광
미모사	민감, 섬세, 부끄러움
미선나무	모든 슬픔이 사라진다
미스티블루	청초한 사랑
매발톱나무	승리의 맹세
민들레	사랑의 사도, 행복, 불사신
민트	다시 한 번 사랑하고 싶습니다, 미덕
밀감	친애
밀집꽃	항상 기억하라
밀토니아	슬픔은 없다
무주나무	자제
무화과	결실있는 사랑
미니델피늄	당신을 행복하게 해줄게요
메도우 클라리 세이지	구원, 존경, 건강, 미덕, 장수
말라코이데스 앵초	부귀, 신비한 마음, 희망
말마비스쿠스	미련, 아직도 다 못한 사랑
멀티코옐로우	평화, 희망
메타세쿼이아	영원한 친구
바비아나	단란한 가족
바질	멋진 희망
바나나	질투, 재능
바디나물	노여움, 동심
바이덴스	황금의 여신
바카리스	개척
박달나무	견고
박쥐란	교묘한, 괴이함
박태기나무	우정, 의혹, 형제애
박하	미덕, 다시 한 번 사랑하고 싶습니다.
반다	애정의 표시
밤나무	포근한 사랑, 정의
밤안개	고운 마음
방울꽃	만족
배꽃	연모
배롱나무	부귀, 떠나간 친구에 대한 회상
배추꽃	쾌활
백당나무	마음
백목련	이루어질 수 없는 사랑
백양나무	시간
백일홍	인연, 행복, 떠나간 님(혹은 친구)을 그리며
백합	순결, 순수한 사랑, 깨끗한 사랑, 변함없는 사랑, 죽음
버드나무	태평세월, 자유
버베나	단결
버섯	유혹
벌개미취	너를 잊지 않으리
범의귀	전 당신을 기쁘게 해주겠습니다, 당신에게 미움받는 다면 죽겠습니다
벚꽃	아름다운 정신(영혼), 정신적 사랑, 삶의 아름다움과 덧없음, 절세미인, 가장 아름다운 순간
벽오동	사모, 그리움
별꽃	환영
병꽃나무	전설
베고니아	정중, 친절, 짝사랑
베르가못	풍부한 감수성
보리	번영, 보편
보리수	결혼, 부부의 사랑
보리지	용기
복사꽃	매력, 유혹, 용서, 희망
복자기나무	약속
봄맞이꽃	봄맞이
봉선화	부귀, 여린 아이같은 마음씨, 아이같은 마음씨, 나를 건드리지 마세요
부바르디아	당신의 포로가 되었습니다
부용	섬세한 아름다움
부추	무한한 슬픔, 별에 소원
분꽃	수줍음, 소심, 겁쟁이
분꽃나무	수줍음
붓꽃	기쁜 소식, 잘 전해 주세요, 사랑의 메시지
분단나무	사람의 마음
블루베리	현명, 친절
비자나무	소중, 사랑스러운 미소
빈카	우정, 즐거운 추억, 당신을 사랑합니다
비파	현명
빌베르기아	만족
보로니아	여인의 향기
뻐꾹나리	당당
뽕나무	지혜, 못 이룬 사랑, 봉사
반디지치	희생
방크스 소나무	희망의 속삭임
방크시아	이루어질 수 없는 사랑
벨로페로네	겸손, 청초
부겐빌레아	정열, 조화
뷰글라스	진실
브라질아브틸론	당신을 따르겠습니다
브리오니아	거절
사루비아	불타는 마음, 정열, 가족애
사과나무	명예, 영광, 현명, 성공
사라세니아	끈기
사상크로스	그리움, 애교
사랑초	당신을 버리지 않겠습니다
사보렌	온정, 열정, 존경
사상자	순결, 결백
사스레피나무	당신은 소중합니다
사프란	환희, 지나간 행복, 절제의 미
사철나무	변화 없음
산나리	순결
산당화	겸손, 단조
산딸기	사랑, 마음 아픈 열애
산사나무	유일한 사랑
산세베리아	관용, 약속을 실행하다
산하엽	친애의 정, 행복, 청초한 사람
산황나무	발전
산세베리아	관용
산수유	지속, 불변
산앵두	오로지 한 사랑
산옥잠화	망각의 사랑
살구나무	아가씨의 수줍음
삼나무	웅대, 그대를 위해 살다
상사화	이룰 수 없는 행복(사랑)
상수리나무	번영
색동호박	나의 마음은 아름답다
생달나무	위로
샌달우드	고요함 속의 강인함
센트레아	행복, 섬세, 유쾌
샤스타데이지	만사는 인내
서어나무	재물
서양모과	영원한 사랑
서향나무	불멸, 명예, 꿈 속의 사랑
석류	원숙미, 원숙한 아름다움, 어리석음, 통합
석산(= 피안화)	슬픈 추억, 잃어버린 기억, 이룰 수 없는 사랑
선인장	열정, 정열, 무모한 사랑
설강화	희망
설앵초	수줍움, 천국의 열쇠, 행운의 열쇠
세인트폴리아	작은 사랑
세이지	가정의 평화
소귀나무	그대만을 사랑해요.
소나무	불변, 불멸
소철	강한 사랑, 속세 비법
소태나무	애교
솔송나무	행복한 마음
송엽국	나태
쇠서나물	발랄
수국	변덕, 진심, 고집, 냉정, 당신은 차갑다
수련	깨끗한 마음, 청순한 마음
수레국화(= 센트레아)	행복
수박꽃	큰 마음
수선화	자기애, 자존심, 고결, 신비, 외로움
순비기나무	그리움
쉬땅나무	신중함
스노드롭	깊은 애정, 희망,당신의 죽음을 기원합니다
스위트피	기쁨, 가련, 추억(나를 기억해줘요)
스윗오렌지	열린 마음
스타티스	영원한 사랑
스톡크	믿어주세요
스프랑게리	항상 변함 없음
스피리아	노력
스타치스	영원한 사랑
스트로벨리	선견지명
스파티필룸	감싸는 사랑
스프랑게리	항상 변화 없음
스피리아	노력
시계꽃	믿음
시금치	활력
시네라리아	항상 즐거움, 항상 빛남
시스투스	인기, 나는 내일/언젠가 죽겠지
시클라멘	수줍음, 질투, 가버린 사랑
식나무	젊고 아름답다
신나무	변치 않는 귀여움
싸리꽃	단정한 사랑
싸리나무	상념, 사색
씀바귀	순박, 헌신함
쐐기풀	악의
싱고니움	기쁨, 즐거움
쉐플레라	함께하는 사랑, 행복
아가판더스	사랑의 전달, 희망
아게라텀	신뢰
아글라오네마	부귀, 행복, 행운
아디언텀	신명, 애교
아레카야자	부활
아로니아	불로장생, 영원한 사랑
아마존빅토리아수련	행운
아마란스	시들지 않는 사랑, 애정
아욱	은혜
아이비	행운이 가득한 사랑
아나나스(= 파인애플)	만족, 미래를 즐긴다
